ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792651.771716,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771734,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771734,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77175,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771774,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771789,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771829,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771829,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77185,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77185,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771869,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771869,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771885,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773312,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773339,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77334,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77336,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773361,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773384,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773384,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773406,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773406,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773428,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773428,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.773443,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
